城市名称,城市ID
石河子,1168
彭州,1747
福鼎,613
同仁,895
启东,1542
那曲,919
怀来,2527
连城,609
北川,1934
周口,709
平凉,424
南澳,958
东方,842
眉县,2776
澎湖,1367
文成,1003
昭通,929
宜川,2757
富蕴,2509
乌兰察布,1358
滨州,660
阜康,2506
庐山,2390
江油,1037
肥西,2619
乳源,2937
胶州,1836
波密,2436
娄底,866
吴忠,890
勐腊,2210
赤壁,1135
涞水,2545
嵊州,553
孝感,862
黑水,120552
荆门,634
龙泉,2033
阳泉,904
昭平,3067
绥中,2133
益阳,868
龙口,1567
钦州,697
宜良,2177
辉县,2313
庆元,2248
西峡,2268
如皋,1372
果洛,120013
连江,2657
建水,2151
通山,2706
温岭,546
米林,2448
海阳,1188
宁安,2233
抚州,875
新郑,2264
临沧,926
珲春,2461
从江,2344
张北,2575
鸡西,852
福清,1152
平阳,1012
沂南,2036
固原,888
普兰,2440
崇州,909
巩义,1846
海盐,529
阜新,879
临夏回族自治州,833
泾县,2616
兴平,2739
瓦房店,2136
铁岭,589
大新,963
涞源,2549
青田,2247
衡水,461
铜川,907
惠安,2680
敦化,1388
榕江,2346
景宁,2034
都匀,678
金沙,2338
东海,3078
松原,873
巴彦淖尔,883
图们,2466
澄江,2171
宁乡,2846
锡林浩特,1373
随州,860
祁连,120123
安新,2521
宽甸,2137
漯河,664
海东,120010
长海,516
江山,1000
根河,2955
五指山,982
东山,2662
休宁,2625
荥阳,1842
四平,556
贵港,711
儋州,841
淮南,638
浦江,1002
连州,1141
济源,640
洪湖,2031
勉县,2779
来宾,839
新余,878
乐亭,2082
乌兰浩特,1316
八宿,120403
磐安,2028
安宁,2150
达拉特旗,2964
伊宁市,2058
铜陵,472
永康,189
普宁,1523
岱山,999
兴安县,722
库车,1345
仁化,959
鄯善,2502
桓仁,2144
闽侯,2666
南江,3109
内江,823
广汉,1349
德化,2659
昭苏,2508
仪征,562
嘉义县,3182
韩城,120420
云浮,836
邹城,1359
札达,2454
礼泉,2759
灵石,3011
靖边,2745
石狮,245
资阳,918
林州,1890
商城,2260
濮阳,581
罗田,2717
丰宁,568
吉县,3038
苗栗,3199
东源,2929
陵川,3004
丰顺,2934
杜尔伯特,2231
黄陵,2734
宿州,672
乌海,677
和平,2948
漳浦,2670
新兴,2919
绥化,856
陇南,1491
广南,2198
哈巴河,2480
东兴,964
玉龙,1446279
井陉,2532
喀什市,2507
淮北,657
兴隆,2528
青铜峡,2330
利川,984
沽源,2591
洪江,2825
石阡,2351
马尔康,913
庐江,2602
融水,3047
靖西,967
宜章,2861
通道,992
犍为,3118
牙克石,887
庄河,2148
阳西,2933
灵川,3064
临朐,2907
乐业,968
宁城,1736
滕州,1371
资兴,1570
盱眙,2100
庆阳,834
涿鹿,2585
克孜勒苏,2511
东台,916
鹤壁,595
白城,870
禄丰,2188
宁蒗,2169
霍山,2609
汝城,2852
盖州,1941
鲁山,2270
平江,2848
塔什库尔干,2481
湘潭县,2858
周至,2781
桃源,991
长阳,2690
凤城,1762
禹州,2301
安龙,2333
安溪,2647
华安,2677
乐昌,957
定西,830
天门,987
盘州,2369
山丹,120488
蒙自,1201
永修,1848
三河,671
丹阳,1038
巍山,2211
丘北,2175
德庆,120097
三门,1945
兰陵,2873
南安,1521
甘孜县,3156
诸城,2077
松阳,2250
门源,1446317
霸州,1834
芒市,2199
宁都,2379
九龙,1446247
贡嘎,120408
扎兰屯,2972
兴国,2387
滨海,3074
贵德,2636
资源,980
塔城地区,924
开化,1001
云霄,2669
新县,2322
遵化,1181
信丰,2380
凭祥,840
齐河,2885
金堂,3131
连南,2941
岚皋,2752
日土,120147
上杭,1158
华蓥,3103
永安,288
莱州,1161
仙游,2654
米易,3097
白银,828
于都,2419
内乡,2295
蓝田,2755
鹤岗,811
绥芬河,855
靖江,1554
晴隆,120454
新安,2315
洱源,2180
麻城,1833
东港,1764
柞水,2766
新化,2856
西乌旗,2960
河口,2201
涿州,848
四会,960
什邡,3154
石门,143838
噶尔,120143
新宁,2857
永城,1578
邳州,1560
龙井,2465
京山,2703
龙山,2842
阳山,1142
双鸭山,854
石台,2624
定州,2562
阿拉善左旗,143886
新密,1163
徐闻,2923
温泉县,1446386
高邮,2075
靖安,2396
赤城,2544
寿县,2628
集安,2467
沭阳,3079
平度,1565
简阳,3122
宁国,1167
永济,1772
琼结,2439
如东,997
乐东,981
寿光,1089
宁强,2731
应城,1145
龙游,812
新沂,1064
鄂州,858
会泽,2212
互助,2637
铁力,2230
上林,120117
鄢陵,2278
芒康,2452
剑阁,3115
灵宝,1162
秭归,2726
宁武,3030
容县,3044
瓜州,2807
蒲江,3136
洪雅,3096
白河,2733
萨嘎,120381
高安,1165
威宁,2337
左贡,120405
桐城,1847
神木,2762
玉山,1013
巴里坤,2494
桂平,418
固安,2586
盂县,3022
凤阳,2626
泰兴,1172
延长,1446146
莱阳,1838
永春,2661
平武,3134
孝义,1144
微山,2869
乌鲁木齐县,2489
大冶,1543
林甸,2219
嵩县,1445115
昌江,2456
浑源,3026
南部县,3104
镇宁,2356
招远,1352
高密,1837
安福,2376
海安,1548
藤县,143827
小金,3110
勐海,2207
肥东,2615
平和,2684
临江,2460
泗洪,143833
共和,2644
万源,3094
思南,2355
新丰,1445183
江口,2334
七台河,1179
全州,3040
易县,2557
玉环,1006
潜江,985
抚松,2479
永登,2793
长丰,2599
辽源,872
多伦,2967
五台,1446115
阳新,2698
射阳,998
海丰,2946
宾县,2223
元谋,2197
织金,2362
武宁,2432
临高,2458
海城,607
澄迈,2457
蛟河,2471
金秀,1445186
大英,1395
洪洞,3015
钟祥,863
大理市,1445616
洋县,2753
定安,2021
虎林,2224
阳城,2076
永兴,143832
独山,2354
南漳,2722
阳春,961
湘乡,1850
惠水,2372
天长,1739
岑溪,3056
河津,3012
广德,2631
康平,2135
揭西,2930
南昌县,2429
龙南,2424
迁安,1397
当阳,2699
高州,337
蒙阴,2870
邹平,2911
玛多,120480
芷江,994
沂源,1134
青龙,2540
石城,2415
龙川,2947
鄱阳,2385
嘉荫,2228
怀集,955
罗源,2663
安丘,2867
武胜,3105
富平,2771
沙河,2556
滦州,2573
黄梅,2689
樟树,1160
建湖,3077
红安,2723
习水,2343
宁远,2847
紫金,2951
蒙山,3057
合浦,965
北镇,2083
宜都,2705
沛县,3075
祁县,3039
石泉,2765
聂拉木,2445
雷州,2936
若羌,120547
古田,2674
龙里,2357
扎囊,2451
邵武,172
梁山,2899
澧县,143837
凌海,2139
阜宁,3081
瑞昌,2397
景泰,2802
伊金霍洛旗,2966
蓬安,3119
贡山,1446282
罗定,1356
泸西,2024
醴陵,2837
东平,2894
新源,2500
墨江,2152
奎屯,1169
天台,1445965
平邑,1875
连山,2944
固始,2291
西乡,2743
嘉鱼,2700
通江,3167
泗阳,1097
铅山,2389
三原,2750
本溪县,1446026
金昌,832
大竹,3138
农安,2472
莒县,2888
信宜,2922
丰城,1839
靖州,2832
仙桃,775
封开,2931
建始,2696
贺兰,2119
安岳,3092
淅川,2307
攸县,2862
炎陵,2860
商南,2756
尼玛,120383
黄平,120442
沅陵,120103
达茂旗,2961
宣汉,3129
安多,120385
苍溪,3111
荔浦,2020
亚东,120090
大埔,2920
宜阳,2289
武安,1566
博乐,922
马祖,1445356
通海,2208
泗水,1138
香河,2526
南涧,2163
恩施市,1446196
崇阳,2695
鹤山,1182
广饶,1769
祁门,2610
久治,1446312
渠县,3141
昌吉市,2503
吴桥,2520
个旧,925
大方,2348
长汀,1445095
英山,2709
武定,2153
法库,2131
仁怀,1905
迁西,2530
鹿邑,2276
黄骅,1868
耒阳,1849
云林,3197
饶平,2932
蒲城,2738
莲花,1445978
蒙城,1872
桐柏,2281
和顺,120422
枣阳,2718
宾阳,3048
且末,1348
石屏,2191
颍上,2634
象州,3060
嘉祥,2874
平定,2057
轮台,1569
闽清,2668
玉屏,2350
灵山,969
单县,2897
谷城,2719
泾阳,2749
房县,2710
绵竹,1446217
舒城,2630
和静,2485
建宁,2648
开远,1318
清镇,1782
莒南,2104
五莲,2084
公安,2714
修水,2399
开阳,2342
安化,2811
咸丰,2720
贵定,120451
巴东,2688
郓城,2898
平乐,3065
白沙,2455
江永,2831
福泉,2363
射洪,1944
尤溪,2667
唐河,2274
三台,3148
陆良,1140
岐山,2746
留坝,2761
廉江,2939
绥德,2769
交城,3033
宝应,3073
德保,3061
泸溪,2843
兴仁,2340
木里,3100
壶关,1446117
建昌,2129
灵武,2323
屏南,2649
武平,2682
南召,1446078
